year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key
2026,LANS201F,スペイン語２初級 Ｚ,睦月　規子,社学,秋学期,無フルOD,教室未定,・テキストの会話・長文を中心に授業を進め、8課から16課まで学習します。教科......,1800001039262026180000103918
2026,GSSH101L,地理情報システム論 II,大場　亨,社学,秋学期,土２時限,教室未定,《全学オープン科目指定》 地理情報システムを活用して集めた情報を加工し、分......,1800001056012026180000105618
2026,GSSC201S,ゼミナールI（労働研究／秋学期）,篠田　徹,社学,秋学期,水１時限,教室未定,このゼミでは主に以下の三つを行います。 ➀学期を通じて各人が労働に関する自身......,1800001074012026180000107418
2026,ARSB291S,ゼミナールI（中国研究／秋学期）,劉　傑,社学,秋学期,火５時限,教室未定,「強国」構想を進めている中国は、第二次世界大戦後に形成された国際秩序に変......,1800001084012026180000108418
2026,ECNA261S,ゼミナールI（環境及び資源経済学研究／秋学期）,赤尾　健一,社学,秋学期,月４時限,教室未定,テキストの輪読と各人の自由な研究報告、そしてそれらに対する全員での議論によ......,1800001092012026180000109218
2026,GSSH201S,ゼミナールI（コミュニティ開発／秋学期）,早田　宰,社学,秋学期,火４時限,教室未定,【早田宰研究室】計画・開発論（Planning and Development）の研究室です。専門......,1800001094012026180000109418
2026,SOCX261S,ゼミナールI（現代社会学研究／秋学期）,周藤　真也,社学,秋学期,水４時限,教室未定,社会学は、人間の形づくる社会生活や集団・社会を研究し、社会的存在としてのわ......,1800001108012026180000110818
2026,CMFC281S,ゼミナールI（異文化コミュニケーション研究／秋学期）,花光　里香,社学,秋学期,水３時限,教室未定,異なる文化背景を持つ人々との円滑なコミュニケーションを阻むのは、言葉の違い......,1800001110012026180000111018
2026,LNGI281S,ゼミナールI（メディアと言語の研究／秋学期）,笹原　宏之,社学,秋学期,月４時限,教室未定,マスメディア・パブリックメディアからパーソナルメディアまで、私たちは様々......,1800001112012026180000111218
2026,INTA281S,ゼミナールI（国際関係研究／秋学期）,奥迫　元,社学,秋学期,火３時限,教室未定,ゼミナールIは、原則として、続くゼミナールII・IIIにおいて国際関係に関する......,1800001126012026180000112618
2026,LAWB211S,ゼミナールI（契約法研究／秋学期）,吉田　和夫,社学,秋学期,火４時限,教室未定,まず、民法の基本論点について理解することを目的とします。ゼミⅠでは、ゼミ......,1800001136012026180000113618
2026,LAWG211S,ゼミナールI（Study of Environmental Law／秋学期）,黒川　哲志,社学,秋学期,水３時限,教室未定,This seminar focuses on environmental law and policy in Japan. Students wi......,1800001140012026180000114018
2026,LAWE211S,ゼミナールI（国際経済法研究／秋学期）,福永　有夏,社学,秋学期,水４時限,教室未定,国際経済法の時事的な問題について英語プレゼンテーションや英語ディベートを行う。,1800001142012026180000114218
2026,LAWG251S,ゼミナールI（医療と法／秋学期）,横野　恵,社学,秋学期,月３時限,教室未定,臓器移植や生殖補助医療、終末期医療等に関する議論が示しているように、医療は......,1800001144012026180000114418
2026,ECNA201S,ゼミナールI（経済と環境の実証分析／秋学期）,中島　隆信,社学,秋学期,月４時限,教室未定,このゼミでは、経済や環境に関するさまざまな問題のうち、各自が特に興味を持つ......,1800001152012026180000115218
2026,ECNA291S,ゼミナールI（情報産業の経済分析／秋学期）,土門　晃二,社学,秋学期,水３時限,教室未定,情報一般に関する入門的な本を輪読していきます。前提知識なしでも、楽しめるよ......,1800001154012026180000115418
2026,MANX241S,ゼミナールI（多国籍企業の研究／秋学期）,長谷川　信次,社学,秋学期,火４時限,教室未定,多国籍企業の経営・経済・政治・社会問題について、教科書や学術論文、新聞雑誌......,1800001172012026180000117218
2026,CMMC201S GSSC201S,ゼミナールI（企業財務論研究／秋学期）,葛山　康典,社学,秋学期,水４時限,教室未定,【ゼミナールI】 企業財務論は、主に企業活動に係わる資金の調達・運用を対象......,1800001174012026180000117418
2026,GSSC301S,ゼミナールII（労働研究／秋学期）,篠田　徹,社学,秋学期,水２時限,教室未定,This seminar provides an intensive researchenvironment for students contin......,1800001194012026180000119418
2026,ARSB391S,ゼミナールII（中国研究／秋学期）,劉　傑,社学,秋学期,火４時限,教室未定,「強国」構想を進めている中国は、第二次世界大戦後に形成された国際秩序に変......,1800001204012026180000120418
2026,ECNA361S,ゼミナールII（環境及び資源経済学研究／秋学期）,赤尾　健一,社学,秋学期,月５時限,教室未定,テキストの輪読と各人の自由な研究報告、そしてそれらに対する全員での議論によ......,1800001212012026180000121218
2026,GSSH301S,ゼミナールII（コミュニティ開発／秋学期）,早田　宰,社学,秋学期,火５時限,教室未定,＜ゼミナールⅡ＞ ラボ活動をおこないます。今年度は「唐津ラボ」を基本とします......,1800001214012026180000121418
2026,SOCX361S,ゼミナールII（現代社会学研究／秋学期）,周藤　真也,社学,秋学期,水５時限,教室未定,社会学理論あるいは興味のある社会現象の中からテーマを設定して社会学的探求を......,1800001228012026180000122818
